"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 07:03:17 GMT 2024","Wed Apr 10 07:03:18 GMT 2024","1183","E2E","Home Page","","","","Search by category only","This is a description for this test."
"passed","Wed Apr 10 07:03:11 GMT 2024","Wed Apr 10 07:03:12 GMT 2024","1262","E2E","Home Page","","","","Search by category only","This is a description for this test."
"passed","Wed Apr 10 07:03:08 GMT 2024","Wed Apr 10 07:03:09 GMT 2024","712","E2E","Home Page","","","","Search by text only","This is a description for this test."
"passed","Wed Apr 10 07:03:02 GMT 2024","Wed Apr 10 07:03:03 GMT 2024","878","E2E","Home Page","","","","Search by text only","This is a description for this test."
"passed","Wed Apr 10 07:03:10 GMT 2024","Wed Apr 10 07:03:10 GMT 2024","694","E2E","Home Page","","","","Search by text only","This is a description for this test."
"passed","Wed Apr 10 07:03:25 GMT 2024","Wed Apr 10 07:03:26 GMT 2024","1146","E2E","Home Page","","","","Search by text and category","This is a description for this test."
"passed","Wed Apr 10 07:03:31 GMT 2024","Wed Apr 10 07:03:32 GMT 2024","1096","E2E","Home Page","","","","Search by text and category","This is a description for this test."
"passed","Wed Apr 10 07:03:27 GMT 2024","Wed Apr 10 07:03:28 GMT 2024","1157","E2E","Home Page","","","","Search by text and category","This is a description for this test."
"passed","Wed Apr 10 07:03:07 GMT 2024","Wed Apr 10 07:03:08 GMT 2024","702","E2E","Home Page","","","","Search by text only","This is a description for this test."
"passed","Wed Apr 10 07:03:04 GMT 2024","Wed Apr 10 07:03:05 GMT 2024","668","E2E","Home Page","","","","Search by text only","This is a description for this test."
"passed","Wed Apr 10 07:03:32 GMT 2024","Wed Apr 10 07:03:33 GMT 2024","1099","E2E","Home Page","","","","Search by text and category","This is a description for this test."
"passed","Wed Apr 10 07:03:13 GMT 2024","Wed Apr 10 07:03:14 GMT 2024","1207","E2E","Home Page","","","","Search by category only","This is a description for this test."
"passed","Wed Apr 10 07:03:23 GMT 2024","Wed Apr 10 07:03:24 GMT 2024","1060","E2E","Home Page","","","","Search by text and category","This is a description for this test."
"passed","Wed Apr 10 07:03:19 GMT 2024","Wed Apr 10 07:03:20 GMT 2024","1191","E2E","Home Page","","","","Search by category only","This is a description for this test."
"passed","Wed Apr 10 07:03:21 GMT 2024","Wed Apr 10 07:03:22 GMT 2024","1190","E2E","Home Page","","","","Search by category only","This is a description for this test."
"passed","Wed Apr 10 07:03:29 GMT 2024","Wed Apr 10 07:03:30 GMT 2024","1154","E2E","Home Page","","","","Search by text and category","This is a description for this test."
"passed","Wed Apr 10 07:03:05 GMT 2024","Wed Apr 10 07:03:06 GMT 2024","719","E2E","Home Page","","","","Search by text only","This is a description for this test."
"passed","Wed Apr 10 07:03:15 GMT 2024","Wed Apr 10 07:03:16 GMT 2024","1260","E2E","Home Page","","","","Search by category only","This is a description for this test."
