"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 06:36:22 GMT 2024","Wed Apr 10 06:36:23 GMT 2024","704","tests","test_search","","","","test_text_search[3-iPhone 14 Pro Max]","Test to search by text-only"
"passed","Wed Apr 10 06:36:19 GMT 2024","Wed Apr 10 06:36:20 GMT 2024","643","tests","test_search","","","","test_text_search[0-Samsung Galaxy S20 Ultra]","Test to search by text-only"
"passed","Wed Apr 10 06:36:35 GMT 2024","Wed Apr 10 06:36:36 GMT 2024","1242","tests","test_search","","","","test_categorical_search[3-Samsung Galaxy S20 Ultra]","Test to search by category"
"passed","Wed Apr 10 06:36:38 GMT 2024","Wed Apr 10 06:36:40 GMT 2024","1095","tests","test_search","","","","test_text_categorical_search[0-iPhone 14 Pro Max]","Test to search by text AND category"
"passed","Wed Apr 10 06:36:31 GMT 2024","Wed Apr 10 06:36:32 GMT 2024","1231","tests","test_search","","","","test_categorical_search[3-Pixel 7]","Test to search by category"
"passed","Wed Apr 10 06:36:37 GMT 2024","Wed Apr 10 06:36:38 GMT 2024","1067","tests","test_search","","","","test_text_categorical_search[0-Pixel 7]","Test to search by text AND category"
"passed","Wed Apr 10 06:36:40 GMT 2024","Wed Apr 10 06:36:41 GMT 2024","1070","tests","test_search","","","","test_text_categorical_search[0-Samsung Galaxy S20 Ultra]","Test to search by text AND category"
"passed","Wed Apr 10 06:36:27 GMT 2024","Wed Apr 10 06:36:28 GMT 2024","1232","tests","test_search","","","","test_categorical_search[0-iPhone 14 Pro Max]","Test to search by category"
"passed","Wed Apr 10 06:36:29 GMT 2024","Wed Apr 10 06:36:30 GMT 2024","1230","tests","test_search","","","","test_categorical_search[0-Samsung Galaxy S20 Ultra]","Test to search by category"
"passed","Wed Apr 10 06:36:42 GMT 2024","Wed Apr 10 06:36:43 GMT 2024","1088","tests","test_search","","","","test_text_categorical_search[3-Pixel 7]","Test to search by text AND category"
"passed","Wed Apr 10 06:36:25 GMT 2024","Wed Apr 10 06:36:26 GMT 2024","1208","tests","test_search","","","","test_categorical_search[0-Pixel 7]","Test to search by category"
"passed","Wed Apr 10 06:36:33 GMT 2024","Wed Apr 10 06:36:34 GMT 2024","1239","tests","test_search","","","","test_categorical_search[3-iPhone 14 Pro Max]","Test to search by category"
"passed","Wed Apr 10 06:36:46 GMT 2024","Wed Apr 10 06:36:47 GMT 2024","1091","tests","test_search","","","","test_text_categorical_search[3-Samsung Galaxy S20 Ultra]","Test to search by text AND category"
"passed","Wed Apr 10 06:36:23 GMT 2024","Wed Apr 10 06:36:24 GMT 2024","692","tests","test_search","","","","test_text_search[3-Samsung Galaxy S20 Ultra]","Test to search by text-only"
"passed","Wed Apr 10 06:36:16 GMT 2024","Wed Apr 10 06:36:17 GMT 2024","1010","tests","test_search","","","","test_text_search[0-Pixel 7]","Test to search by text-only"
"passed","Wed Apr 10 06:36:18 GMT 2024","Wed Apr 10 06:36:18 GMT 2024","685","tests","test_search","","","","test_text_search[0-iPhone 14 Pro Max]","Test to search by text-only"
"passed","Wed Apr 10 06:36:20 GMT 2024","Wed Apr 10 06:36:21 GMT 2024","679","tests","test_search","","","","test_text_search[3-Pixel 7]","Test to search by text-only"
"passed","Wed Apr 10 06:36:44 GMT 2024","Wed Apr 10 06:36:45 GMT 2024","1072","tests","test_search","","","","test_text_categorical_search[3-iPhone 14 Pro Max]","Test to search by text AND category"
