"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 06:52:09 GMT 2024","Wed Apr 10 06:52:13 GMT 2024","3432","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:52:18 GMT 2024","Wed Apr 10 06:52:18 GMT 2024","666","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:52:15 GMT 2024","Wed Apr 10 06:52:16 GMT 2024","670","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:52:24 GMT 2024","Wed Apr 10 06:52:26 GMT 2024","1207","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:52:30 GMT 2024","Wed Apr 10 06:52:31 GMT 2024","1214","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:52:28 GMT 2024","Wed Apr 10 06:52:29 GMT 2024","1173","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:52:36 GMT 2024","Wed Apr 10 06:52:37 GMT 2024","1078","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:52:34 GMT 2024","Wed Apr 10 06:52:35 GMT 2024","1063","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:52:19 GMT 2024","Wed Apr 10 06:52:20 GMT 2024","667","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:52:26 GMT 2024","Wed Apr 10 06:52:28 GMT 2024","1200","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:52:41 GMT 2024","Wed Apr 10 06:52:42 GMT 2024","1088","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:52:20 GMT 2024","Wed Apr 10 06:52:22 GMT 2024","1214","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:52:38 GMT 2024","Wed Apr 10 06:52:39 GMT 2024","1068","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:52:39 GMT 2024","Wed Apr 10 06:52:40 GMT 2024","1059","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:52:16 GMT 2024","Wed Apr 10 06:52:17 GMT 2024","664","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:52:32 GMT 2024","Wed Apr 10 06:52:33 GMT 2024","1082","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:52:13 GMT 2024","Wed Apr 10 06:52:14 GMT 2024","723","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:52:22 GMT 2024","Wed Apr 10 06:52:24 GMT 2024","1225","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
